,Beat_ID,Prev_Beat_ID,Curr0-0,Curr0-1,Curr0-2,Curr0-3,Curr1-0,Curr1-1,Curr1-2,Curr1-3,Curr2-0,Curr2-1,Curr2-2,Curr2-3,Prev0-0,Prev0-1,Prev0-2,Prev0-3,Prev1-0,Prev1-1,Prev1-2,Prev1-3,Prev2-0,Prev2-1,Prev2-2,Prev2-3,Flow
0,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True
1,*-1+5-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True
2,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True
3,*-1-1-1-1-1-1-1-1-1+15-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True
4,*-1-1-1-1-1-1-1+12-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True
5,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1+13-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
6,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1+13-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
7,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1+13-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
8,*-1-1-1-1-1-1-1+12-1-1-1-1*,*-1-1+13-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
9,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1+13-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
10,*-1-1-1-1-1-1-1-1-1+1+10-1*,*-1-1-1-1+2-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,-1,-1,2,-1,-1,12,-1,-1,-1,-1,True
11,*+0-1-1+9-1-1-1-1-1-1-1-1*,*-1-1-1-1+2-1-1+12-1-1-1-1*,0,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,12,-1,-1,-1,-1,True
12,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1+2-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,12,-1,-1,-1,-1,True
13,*-1-1-1-1-1-1+3-1-1-1-1-1*,*-1-1-1-1+2-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,12,-1,-1,-1,-1,True
14,*-1-1-1-1-1-1-1-1-1+1-1-1*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
15,*-1-1-1-1-1-1-1-1-1-1-1+16*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
16,*-1-1-1-1-1+11-1-1-1-1-1-1*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
17,*-1-1-1+14-1-1-1-1-1-1-1-1*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
18,*-1-1-1-1-1-1-1-1-1-1+10-1*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
19,*-1-1-1-1-1-1-1-1-1+1-1-1*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
20,*-1-1-1+14-1-1-1-1-1-1-1-1*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
21,*-1-1-1-1-1-1-1-1-1-1+10-1*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
22,*-1+0+9-1-1-1-1-1-1-1-1-1*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
23,*-1-1-1-1-1-1-1-1+6-1-1+16*,*+4-1-1-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
24,*-1-1-1-1+2-1-1+12-1-1-1-1*,*-1-1-1-1-1-1+11-1-1+3-1-1*,-1,-1,-1,-1,2,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,3,-1,-1,True
25,*-1-1-1-1-1-1-1-1-1+1+10-1*,*-1-1-1-1-1-1+11-1-1+3-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,3,-1,-1,True
26,*+0-1-1+9-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1+11-1-1+3-1-1*,0,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,3,-1,-1,True
27,*-1-1-1-1-1-1-1+16-1-1+7-1*,*-1-1-1-1+6-1-1-1-1+15-1-1*,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,7,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,15,-1,-1,True
28,*+4-1-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1+6-1-1-1-1+15-1-1*,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,15,-1,-1,True
29,*-1-1-1+14-1-1-1-1-1-1-1-1*,*-1-1-1-1+6-1-1-1-1+15-1-1*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,15,-1,-1,True
30,*+4-1-1-1-1-1-1-1-1+15-1-1*,*-1-1-1-1-1-1-1-1-1+1+10-1*,4,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,True
31,*-1-1-1+14-1-1-1-1-1-1+7-1*,*-1-1-1-1-1-1-1-1-1+1+10-1*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,True
32,*-1-1-1-1-1-1-1-1-1-1+7+16*,*-1-1-1-1-1-1-1-1+6+15-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,16,-1,-1,-1,-1,-1,-1,-1,-1,6,15,-1,-1,True
33,*-1-1-1-1-1-1-1-1+6-1-1+15*,*-1-1-1-1-1-1-1-1+6+15-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,6,15,-1,-1,True
34,*-1-1-1-1+2-1-1+12-1-1-1-1*,*-1-1-1+14-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,2,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,7,-1,True
35,*-1-1-1-1-1-1-1-1-1+1+10-1*,*-1-1-1+14-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,7,-1,True
36,*-1+0+9-1-1-1-1-1-1-1-1-1*,*-1-1-1+14-1-1-1-1-1-1+7-1*,-1,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,7,-1,True
37,*-1-1-1-1-1-1-1-1+6-1-1+16*,*-1-1-1+14-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,16,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,7,-1,True
38,*-1-1-1-1+2-1-1+12-1-1-1-1*,*-1-1-1-1-1-1+11-1-1+3-1-1*,-1,-1,-1,-1,2,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,3,-1,-1,True
39,*-1-1-1-1-1-1-1-1-1+1+10-1*,*-1-1-1-1-1-1+11-1-1+3-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,3,-1,-1,True
40,*-1-1-1-1-1-1-1-1+6+15-1-1*,*-1-1-1-1-1-1+11-1-1+3-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,15,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,3,-1,-1,True
41,*-1-1-1-1+0-1-1-1-1-1-1-1*,*-1-1-1-1-1-1+11-1-1+3-1-1*,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,3,-1,-1,True
42,*-1+9-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1+11-1-1+3-1-1*,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,3,-1,-1,True
43,*-1-1-1-1-1-1-1-1-1-1+16-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True
44,*-1-1-1-1-1-1+5-1-1-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True
45,*-1-1-1-1-1-1-1-1-1-1+1+10*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True
46,*-1-1+0-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True
47,*-1-1-1+9-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True
48,*-1-1-1-1-1-1-1-1-1+2-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True
49,*-1-1-1-1-1-1-1-1-1-1-1+16*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True
50,*-1-1-1-1-1-1-1-1+1+10-1-1*,*-1-1+5-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
51,*-1-1-1-1+0-1-1-1-1-1-1-1*,*-1-1+5-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
52,*-1+9-1-1-1-1-1-1-1-1-1-1*,*-1-1+5-1-1-1-1-1-1-1-1-1*,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
53,*-1-1-1-1-1-1-1-1+1-1-1-1*,*-1-1+5-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
54,*-1-1-1-1-1-1-1-1-1-1+16-1*,*-1-1+5-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
55,*-1-1-1-1-1-1+3-1-1-1-1-1*,*-1-1+5-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
56,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1+5-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
57,*-1+0-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True
58,*-1-1+9-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True
59,*-1-1-1-1-1-1-1-1+6-1+10-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True
60,*+5-1-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True
61,*-1-1-1-1-1-1-1-1-1+1+10-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True
62,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True
63,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True
64,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True
65,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
66,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
67,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
68,*-1-1-1-1-1-1-1+12-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
69,*-1-1-1-1-1-1+5-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
70,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
71,*-1-1-1-1-1+13-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
