,Side,Beat_ID,Prev_Beat_ID,Curr0-0,Curr0-1,Curr0-2,Curr0-3,Curr1-0,Curr1-1,Curr1-2,Curr1-3,Curr2-0,Curr2-1,Curr2-2,Curr2-3,Prev0-0,Prev0-1,Prev0-2,Prev0-3,Prev1-0,Prev1-1,Prev1-2,Prev1-3,Prev2-0,Prev2-1,Prev2-2,Prev2-3,Flow
0,0,*-1+5-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True
1,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True
2,1,*-1-1-1-1-1-1-1+12-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+15-1-1*,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,True
3,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1+15-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,True
4,0,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True
5,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True
6,1,*-1-1-1-1-1-1-1+12-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+15-1-1*,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,True
7,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1+15-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,True
8,0,*+0-1-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True
9,1,*-1-1-1+9-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+15-1-1*,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,True
10,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True
11,0,*-1-1-1-1-1-1+3-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True
12,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True
13,1,*-1-1-1-1-1+11-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
14,1,*-1-1-1+14-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
15,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
16,1,*-1-1-1+14-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
17,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
18,0,*-1+0-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True
19,1,*-1-1+9-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
20,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True
21,1,*-1-1-1-1-1-1-1-1-1-1-1+16*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
22,0,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True
23,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True
24,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True
